timestamp,open,high,low,close
2021-01-15 10:09:00,-1940.0,-1935.0,-1992.5,-1982.5
2021-01-15 10:10:00,,,,
2021-01-15 10:11:00,,,,
2021-01-15 10:12:00,,,,
2021-01-15 10:13:00,,,,
2021-01-15 10:14:00,,,,
2021-01-15 10:15:00,,,,
2021-01-15 10:16:00,,,,
2021-01-15 10:17:00,,,,
2021-01-15 10:18:00,,,,
2021-01-15 10:19:00,,,,
2021-01-15 10:20:00,,,,
2021-01-15 10:21:00,,,,
2021-01-15 10:22:00,,,,
2021-01-15 10:23:00,-2000.0,-2000.0,-2008.5,-2006.0
2021-01-15 10:24:00,,,,
2021-01-15 10:25:00,,,,
2021-01-15 10:26:00,,,,
2021-01-15 10:27:00,,,,
2021-01-15 10:28:00,,,,
2021-01-15 10:29:00,,,,
2021-01-15 10:30:00,,,,
2021-01-15 10:31:00,,,,
2021-01-15 10:32:00,,,,
2021-01-15 10:33:00,,,,
2021-01-15 10:34:00,,,,
2021-01-15 10:35:00,,,,
2021-01-15 10:36:00,,,,
2021-01-15 10:37:00,,,,
2021-01-15 10:38:00,,,,
2021-01-15 10:39:00,,,,
2021-01-15 10:40:00,,,,
2021-01-15 10:41:00,,,,
2021-01-15 10:42:00,-2065.5,-2021.5,-2065.5,-2024.0
2021-01-15 10:43:00,,,,
2021-01-15 10:44:00,,,,
2021-01-15 10:45:00,-2046.0,-2044.5,-2053.0,-2047.5
2021-01-15 10:46:00,,,,
2021-01-15 10:47:00,,,,
2021-01-15 10:48:00,,,,
2021-01-15 10:49:00,-1995.5,-1995.5,-2043.0,-2040.0
2021-01-15 10:50:00,-2038.0,-2038.0,-2046.0,-2046.0
2021-01-15 10:51:00,,,,
2021-01-15 10:52:00,,,,
2021-01-15 10:53:00,,,,
2021-01-15 10:54:00,,,,
2021-01-15 10:55:00,,,,
2021-01-15 10:56:00,,,,
2021-01-15 10:57:00,,,,
2021-01-15 10:58:00,-2010.5,-2010.5,-2048.5,-2046.5
2021-01-15 10:59:00,,,,
2021-01-15 11:00:00,,,,
2021-01-15 11:01:00,,,,
2021-01-15 11:02:00,,,,
2021-01-15 11:03:00,,,,
2021-01-15 11:04:00,,,,
2021-01-15 11:05:00,,,,
2021-01-15 11:06:00,-2023.5,-2011.5,-2024.0,-2017.5
2021-01-15 11:07:00,,,,
2021-01-15 11:08:00,,,,
2021-01-15 11:09:00,-2040.0,-2007.5,-2040.0,-2007.5
2021-01-15 11:10:00,,,,
2021-01-15 11:11:00,,,,
2021-01-15 11:12:00,,,,
2021-01-15 11:13:00,,,,
2021-01-15 11:14:00,,,,
2021-01-15 11:15:00,,,,
2021-01-15 11:16:00,,,,
2021-01-15 11:17:00,,,,
2021-01-15 11:18:00,,,,
2021-01-15 11:19:00,,,,
2021-01-15 11:20:00,,,,
2021-01-15 11:21:00,,,,
2021-01-15 11:22:00,,,,
2021-01-15 11:23:00,,,,
2021-01-15 11:24:00,,,,
2021-01-15 11:25:00,,,,
2021-01-15 11:26:00,,,,
2021-01-15 11:27:00,,,,
2021-01-15 11:28:00,,,,
2021-01-15 11:29:00,,,,
2021-01-15 11:30:00,,,,
2021-01-15 11:31:00,,,,
2021-01-15 11:32:00,,,,
2021-01-15 11:33:00,,,,
2021-01-15 11:34:00,,,,
2021-01-15 11:35:00,,,,
2021-01-15 11:36:00,,,,
2021-01-15 11:37:00,,,,
2021-01-15 11:38:00,,,,
2021-01-15 11:39:00,,,,
2021-01-15 11:40:00,,,,
2021-01-15 11:41:00,,,,
2021-01-15 11:42:00,,,,
2021-01-15 11:43:00,,,,
2021-01-15 11:44:00,,,,
2021-01-15 11:45:00,,,,
2021-01-15 11:46:00,,,,
2021-01-15 11:47:00,,,,
2021-01-15 11:48:00,,,,
2021-01-15 11:49:00,,,,
2021-01-15 11:50:00,,,,
2021-01-15 11:51:00,,,,
2021-01-15 11:52:00,,,,
2021-01-15 11:53:00,,,,
2021-01-15 11:54:00,,,,
2021-01-15 11:55:00,,,,
2021-01-15 11:56:00,,,,
2021-01-15 11:57:00,,,,
2021-01-15 11:58:00,,,,
2021-01-15 11:59:00,,,,
2021-01-15 12:00:00,,,,
2021-01-15 12:01:00,,,,
2021-01-15 12:02:00,,,,
2021-01-15 12:03:00,,,,
2021-01-15 12:04:00,,,,
2021-01-15 12:05:00,-1864.0,-1864.0,-1968.5,-1964.5
2021-01-15 12:06:00,,,,
2021-01-15 12:07:00,-1974.5,-1970.5,-1998.5,-1991.0
2021-01-15 12:08:00,-1991.5,-1962.5,-1991.5,-1983.5
2021-01-15 12:09:00,,,,
2021-01-15 12:10:00,,,,
2021-01-15 12:11:00,,,,
2021-01-15 12:12:00,,,,
2021-01-15 12:13:00,,,,
2021-01-15 12:14:00,,,,
2021-01-15 12:15:00,,,,
2021-01-15 12:16:00,,,,
2021-01-15 12:17:00,,,,
2021-01-15 12:18:00,,,,
2021-01-15 12:19:00,,,,
2021-01-15 12:20:00,,,,
2021-01-15 12:21:00,,,,
2021-01-15 12:22:00,,,,
2021-01-15 12:23:00,,,,
2021-01-15 12:24:00,,,,
2021-01-15 12:25:00,,,,
2021-01-15 12:26:00,,,,
2021-01-15 12:27:00,,,,
2021-01-15 12:28:00,,,,
2021-01-15 12:29:00,,,,
2021-01-15 12:30:00,,,,
2021-01-15 12:31:00,,,,
2021-01-15 12:32:00,,,,
2021-01-15 12:33:00,,,,
2021-01-15 12:34:00,,,,
2021-01-15 12:35:00,,,,
2021-01-15 12:36:00,,,,
2021-01-15 12:37:00,,,,
2021-01-15 12:38:00,,,,
2021-01-15 12:39:00,,,,
2021-01-15 12:40:00,,,,
2021-01-15 12:41:00,-1955.5,-1941.5,-1955.5,-1945.0
2021-01-15 12:42:00,,,,
2021-01-15 12:43:00,,,,
2021-01-15 12:44:00,,,,
2021-01-15 12:45:00,,,,
2021-01-15 12:46:00,,,,
2021-01-15 12:47:00,,,,
2021-01-15 12:48:00,,,,
2021-01-15 12:49:00,,,,
2021-01-15 12:50:00,,,,
2021-01-15 12:51:00,,,,
2021-01-15 12:52:00,,,,
2021-01-15 12:53:00,-1964.5,-1951.5,-1964.5,-1956.5
2021-01-15 12:54:00,,,,
2021-01-15 12:55:00,,,,
2021-01-15 12:56:00,,,,
2021-01-15 12:57:00,-1878.5,-1878.5,-1971.0,-1962.0
2021-01-15 12:58:00,,,,
2021-01-15 12:59:00,-1937.0,-1935.0,-1964.0,-1964.0
2021-01-15 13:00:00,,,,
2021-01-15 13:01:00,-1972.5,-1958.0,-1982.0,-1958.0
2021-01-15 13:02:00,,,,
2021-01-15 13:03:00,,,,
2021-01-15 13:04:00,,,,
